activity	sp2
Antispasmodic	Abelmoschus esculentus/Abelmoschus moschatus/Abies spectabilis/Acacia farnesiana/Acalypha arvensis/Achillea millefolium/Achyranthes aspera/Achyrocline satureioides/Acmella oppositifolia/Acorus calamus/Actaea racemosa/Actaea spicata/Aegle marmelos/Aethusa cynapium/Agathosma betulina/Ageratum conyzoides/Ailanthus altissima/Albizia lebbeck/Alchornea floribunda/Allium cepa/Allium sativum/Allium ursinum/Aloysia citriodora/Aloysia citrodora/Alpinia galanga/Alpinia officinarum/Alstonia constricta/Ambrosia arborescens/Ambrosia peruviana/Ammi visnaga/Andira araroba/Anemore pulsatilla/Anethum graveolens/Angelica archangelica/Angelica sinensis/Annona muricata/Annona squamosa/Antennaria dioica/Apeiba tribourbou/Apium graveolens/Argyreia nervosa/Aristolochia triangularis/Aristolochia trilobata/Armoracia rusticana/Arrabidiae chica/Artemisia absinthium/Artemisia dracunculus/Artemisia sodiroii/Artemisia vulgaris/Asclepias tuberosa/Aspalathus sp./Asparagus racemosus/Aspidosperma quebracho-blanco/Astragalus membranaceus/Atropa belladonna/Auricularia spp./Baccharis articulata/Bacopa monnieri/Ballota nigra/Bellis perennis/Berberis vulgaris/Bidens pilosa/Bixa orellana/Bocconia frutescens/Boerhavia diffusa/Borago officinalis/Bridens pilosa/Bromelia plumieri/Brugmansia versicolor/Brunfelsia uniflora/Bryophyllum pinnatum/Bursera graveolens/Bursera simaruba/Caesalpinia bonduc/Calendula officinalis/Calophyllum brasiliense/Calotropis gigantea/Calotropis procera/Caltha palustris/Camellia sinensis/Cannabis sativa/Capparis tomentosa/Capraria biflora/Capsicum frutescens/Capsicum spp./Carapichea ipecacuanha/Cardiospermum halicacabum/Carica papaya/Carlina acaulis/Carum carvi/Casearia sylvestris/Caulophyllum thalictroides/Cecropia peltata/Cedrus deodara/Ceiba pentandra/Celastrus paniculatus/Centella asiatica/Chamaemelum nobile/Chamaesyce hirta/Chelidonium majus/Chenopodium ambrosioides/Chenopodium vulvaria/Chiococca alba/Chromolaena odorata/Cinchona officinalis/Cinnamomum aromaticum/Cinnamomum camphora/Cinnamomum verum/Cissampelos pareira/Citrus reticulata/Citrus sinensis/Coccinia grandis/Collinsonia canadensis/Commelina erecta/Commiphora myrrha/Commiphora wightii/Conium maculatum/Coria nodosa/Coriandrum sativum/Cornus florida/Corydalis ambigua/Corynanthe pachycera/Costus speciosus/Crocus sativus/Cuminum cyminum/Curcuma longa/Curcuma zedoaria/Cymbopogon citratus/Cynara cardunculus/Cynoglossum officinale/Cypripedium spp./Datura inoxia/Datura metel/Datura stramonium/Delphinium staphisagria/Desmodium adscendens/Dicentra canadensis/Dicentra cucullaria/Dictamnus albus/Dioscorea spp./Dioscorea villosa/Dipteryx odorata/Dodonaea viscosa/Dorema ammoniacum/Dracontium spp./Drimys winteri/Drosera ramentacea/Drosera rotundifolia/Dysphania ambrosioides/Echinacea spp./Eclipta prostrata/Elettaria cardamomum/Equisetum arvense/Equisetum giganteum/Eriodictyon californicum/Eryngium campestre/Eryngium foetidum/Erysimum cheiri/Erythroxylum verna/Eschscholzia californica/Eucalyptus globulus/Eupatorium perfoliatum/Ferula assa-foetida/Ferula sumbul/Filipendula ulmaria/Foeniculum vulgare/Frangula purshiana/Fumaria officinalis/Galium aparine/Galium odoratum/Galium verum/Gallesia integrifolia/Gardenia jasminoides/Gelsemium sempervirens/Ginko biloba/Gliricidia sepium/Glycyrrhiza glabra/Grindelia camporum/Grindelia squarrosa/Hamelia patens/Hedeoma pulegioides/Hedera helix/Heimia salicifolia/Helichrysum arenarium/Heliotropium indicum/Herniaria glabra/Hibiscus sabdariffa/Hieracium pilosella/Holarrhena pubescens/Humulus lupulus/Hymenaea courbaril/Hyoscyamus niger/Hypericum perforatum/Hyssopus officinalis/Illicium verum/Impatiens capensis/Indigofera suffruticosa/Indigofera tinctoria/Inula racemosa/Iris spp/Jasminum officinale/Jatropha curcas/Jatropha gossypiifolia/Juniperus Communis/Justicia adhatoda/Justicia pectoralis/Kadsura japonica/Lactuca virosa/Lagochilus inebrians/Lansium domesticum/Lantana camara/Larrea tridentata/Lavandula spp./Lawsonia inermis/Leonurus cardiaca/Leucanthemum vulgare/Levisticum officinale/Lilium candidum/Lippia alba/Lobelia inflata/Lonicera caprifolium/Lonicera japonica/Lophophora williamsii/Lycopodium clavatum/Lycoseris latifolia/Mallotus philippensis/Manihot esculenta/Mansoa alliacea/Marrubium vulgare/Matricaria recutita/Maytenus ilicifolia/Medicago sativa/Melaleuca alternifolia/Melaleuca cajuputi/Melia azedarach/Melilotus offinalis/Melissa officinalis/Mentha longifolia/Mentha pulegium/Mentha spicata/Mentha x/Menyanthes trifoliata/Michelia champaca/Mimosa pudica/Mirabilis jalapa/Momordica charantia/Monarda didyma/Monarda punctata/Morinda citrifolia/Moringa oleifera/Morus alba/Morus rubra/Mucuna pruriens/Muntingia calabura/Murraya koenigii/Myrciaria dubia/Myroxylon balsamum/Myrtus communis/Narcissus psedonarcissus/Nardostachys grandiflora/Nelumbo nucifera/Nepeta cataria/Nicotiana tabacum/Nigella sativa/Ocimum campechianum/Ocimum tenuiflorum/Olea europaea/Origanum majorana/Origanum vulgare/Orthosiphon aristatus/Paeonia lactiflora/Paeonia officinalis/Paeonia suffruticosa/Papaver somniferum/Paris quadrifolia/Passiflora caerulea/Passiflora edulis/Passiflora foetida/Passiflora incarnata/Pastinaca sativa/Peganum harmala/Perilla frutescens/Persea americana/Petasites hybridus/Petiveria alliacea/Petroselinum crispum/Peucedanum ostruthium/Peumus boldus/Phlebodium aureum/Phoradendron crassifolium/Phyla dulcis/Phyllanthus niruri/Physalis angulata/Picea abies/Picramnia pentandra/Pimenta dioica/Pimenta rece/Pimpinella anisum/Pimpinella saxifraga/Pinus sylvestris/Piper aduncum/Piper amalago/Piper auritum/Piper betle/Piper methysticum/Piscidia piscipula/Plantago major/Plectranthus barbatus/Populus sp./Portulaca oleracea/Potentilla anserina/Primula veris/Prunella vulgaris/Prunus armeniaca/Prunus Laurocerasus/Prunus serotina/Psidium guajava/Psychotria ipecacuanha/Pterocarpus santalinus/Ptychopetalum olacoides/Pueraria montana/Pyrola rotundifolia/Ranunculus sceleratus/Rheum palmatum/Ribes nigrum/Robinia pseudoacacia/Rosa canina/Rosmarinus officinalis/Rubus idaeus/Rumex crispus/Rumex hymenosepalus/Ruta graveolens/Salvia miltiorrhiza/Salvia officinalis/Salvia sclarea/Sanguinaria canadensis/Santalum album/Santolina chamaecyparissus/Satureja sp./Saussurea costus/Schinus terebinthifolius/Schkuhria pinnata/Scoparia dulcis/Scutellaria baicalensis/Scutellaria lateriflora/Sempervivum tectorum/Senecio jacobaea/Senna alexandrina/Senna occidentalis/Senna tora/Serenoa repens/Sida rhombifolia/Silphium laciniatum/Silphium perfoliatum/Siparuna guianensis/Sisymbrium officinale/Solanum nigrum/Solanum torvum/Solanum tuberosum/Soliago odora/Solidago canadensis/Solidago virgaurea/Sonchus oleraceus/Spondias mombin/Spondias purpurea/Stachys palustris/Stachytarpheta jamaicensis/Stillingia sylvatica/Styrax benzoin/Swertia japonica/Symplocarpus foetidus/Syzygium aromaticum/Syzygium cumini/Tagetes lucida/Tagetes minuta/Tagetes pusilla/Tamarindus indica/Tanacetum parthenium/Tanacetum vulgare/Taraxacum officinale/Taxus baccta/Tecoma stans/Terminalia arguna/Terminalia chebula/Tetradenia riparia/Teucrium chamaedrys/Teucrium polium/Thevetia peruviana/Thymus serpyllum/Thymus vulgaris/Tilia spp./Tinospora cordifolia/Trachyspermum ammi/Trifolium pratense/Trigonella foenum-graecum/Trillium erectum/Turnera diffusa/Tussilago farfara/Tylophora indica/Uncaria gambir/Urtica dioica/Utricularia vulgaris/Vaccinium myrtillus/Valeriana jatamansi/Valeriana officinalis/Vanilla planifolia/Veratrum viride/Verbascum spp./Verbena officinalis/Vetiveria zizanioides/Viburnum opulus/Viburnum prunifolium/Vinca minor/Viola odorata/Viscum album/Withania somnifera/Xanthium spinosum/Zanthoxylum clava-herculis/Zanthoxylum spp./Zingiber officinale/Ziziphus jujuba
Antispermatogenic	Achillea millefolium/Andrographis paniculata/Argemone mexicana/Celastrus paniculatus/Cichorium intybus/Gloriosa superba/Hibiscus rosa-sinensis/Momordica charantia/Ocimum tenuiflorum/Thespesia populnea
Antistaphylococcic	Lycopersicon esculentum/Myrciaria dubia/Senna tora/Zanthoxylum rhoifolium
Antisterility	Ilex guayusa
Antisteroidogenic	Thespesia populnea
Antistomatitic	Cicer arietinum/Cichorium endivia/Uncaria tomentosa
Antistress	Allium sativum/Bacopa monnieri/Celastrus paniculatus/Centella asiatica/Cicer arietinum/Cucumis melo/Eclipta prostrata/Eleutherococcus senticosus/Musa x/Neriu oleander/Ocimum tenuiflorum/Paeonia lactiflora/Passiflora incarnata/Picrorhiza kurrooa/Ptychopetalum olacoides/Sanguisorba officinalis/Saussurea costus/Tilia spp./Withania somnifera
Antistroke	Gynostemma pentaphyllum/Pimenta dioica
Antisubtilisin	Cajanus cajan
Antisunburn	Cichorium endivia
Antisuppurative	Brugmansia versicolor/Calendula officinalis/Commiphora wightii
Antisyncytial	Narcissus tazetta
Antisyphilitic	Anemopaegma arvense/Brosimum acutifolium/Brunfelsia uniflora/Calotropis procera/Cayaponia tayuya/Heimia salicifolia/Jacaranda caucana/Jacaranda copaia/Lasiocephalus ovatus/Mikania guaco/Senecio formosus/Stillingia sylvatica/Turnera diffusa
Antitelomerase	Tabebuia spp.
Antitendinitic	Ananas comosus
Antitermite	Aframomum melegueta
Antitestosterone	Paeonia lactiflora
Antitetanic	Carica papaya
Antithiamin	Camellia sinensis
Antithrombic	Allium sativum/Commiphora wightii/Duranta erecta/Elaeis guineensis/Filipendula ulmaria/Genipa americana/Glycyrrhiza glabra/Gynostemma pentaphyllum/Lycopersicon esculentum/Medicago sativa/Oenothera biennis/Piper methysticum/Rehmannia glutinosa/Ruta graveolens/Salvia miltiorrhiza/Senna alata/Swietenia mahagoni/Uncaria tomentosa/Zingiber officinale
Antithromboxane	Allium cepa/Aloe vera/Bupleurum chinense/Chelidonium majus/Crataegus spp./Curcuma longa/Panax ginseng/Picrorhiza kurrooa/Pinus pinaster/Rehmannia glutinosa/Rheum palmatum/Stephania tetrandra/Zingiber officinale
Antitumor proliferation	Actaea racemosa
Antitumor, colon	Arachis hypogaea/Bixa orellana/Brassica oleracea/Myrciaria dubia
Antitumor, colorectal	Ximenia americana
Antitumor, lung	Bixa orellana/Brassica oleracea/Myrciaria dubia
Antitumor, prostate	Ficus carica
Antitumor, skin	Brassica oleracea/Ipomoea batatas
Antitumor, stomach	Bixa orellana
Antitussive	Acacia nilotica/Achyrocline satureioides/Acrtostaphylos uva-ursi/Actaea racemosa/Adiantum capillus-veneris/Allamanda cathartica/Althaea officinalis/Argemone mexicana/Artemisia ludoviciana/Asparagus racemosus/Aspidosperma excelsum/Ayapana triplinervis/Ballota nigra/Belamcanda chinensis/Bixa orellana/Bletilla striata/Brosimum alicastrum/Bryophyllum pinnatum/Bupleurum chinense/Byrsonima crassifolia/Caesalpinia pulcherrima/Cannabis sativa/Cassia fistula/Ceratonia siliqua/Chelidonium majus/Chenopodium ambrosioides/Chondrus crispus/Chromolaena odorata/Cinnamomum camphora/Citrus sinensis/Cladonia pyxidata/Coffea arabica/Copaifera officinalis/Corydalis ambigua/Crescentia cujete/Culcitium canescens/Cynoglossum officinale/Dipteryx odorata/Dracaena draco/Dracontium spp./Drosera ramentacea/Drosera rotundifolia/Dysphania ambrosioides/Ephedra spp./Epimedium spp./Erythrina fusca/Erythrina ulei/Erythroxylum verna/Eucalyptus globulus/Eupatorium perfoliatum/Fallopia japonica/Foeniculum vulgare/Forsythia suspensa/Ginko biloba/Gleditsia triacanthos/Glycyrrhiza glabra/Grindelia squarrosa/Guazuma ulmifolia/Harugana madagascariensis/Hedeoma pulegioides/Hibiscus rosa-sinensis/Hydrastis canadensis/Hymenaea courbaril/Inula helenium/Jatropha macrantha/Justicia adhatoda/Lactuca virosa/Lagenaria siceraria/Lantana camara/Laportea aestuans/Ledum groenlandicum/Linum usitatissimum/Lobelia siphilitica/Macfadyena unguis-cati/Maclura tinctoria/Mangifera indica/Mansoa alliacea/Marrubium vulgare/Mentha aquatica/Mentha x/Mikania guaco/Mitragyna speciosa/Myroxylon balsamum/Nadina domestica/Nepeta cataria/Oenanthe aquatica/Onopordum acanthium/Opuntia ficus-indica/Papaver bracteatum/Papaver rhoeas/Papaver somniferum/Passiflora edulis/Passiflora incarnata/Passiflora quadrangularis/Perilla frutescens/Petiveria alliacea/Phlebodium aureum/Phyla dulcis/Phyla scaberrima/Physalis alkekengi/Pinellia ternata/Pistacia lentiscus/Plantago lanceolata/Plantago major/Platycodon grandiflorum/Pluchea carolinensis/Polygonum aviculare/Prosopis chilensis/Prunus armeniaca/Prunus Laurocerasus/Prunus serotina/Pseudotsuga menziesii/Psidium guajava/Pulmonaria officinalis/Ricinus communis/Ruta graveolens/Schisandra chinensis/Schkuhria pinnata/Scoparia dulcis/Spondias mombin/Stachytarpheta jamaicensis/Talipariti tiliaceum/Thymus serpyllum/Thymus vulgaris/Tilia spp./Trichosanthes kirilowii/Turnera diffusa/Tussilago farfara/Ulmus rubra/Verbena officinalis/Viola odorata/Vitex negundo/Zingiber officinale/Ziziphus jujuba
Antityphoid	Andrographis paniculata
Antityrosinase	Acrtostaphylos uva-ursi
Antiulcerogenic	Achillea millefolium/Actaea racemosa/Allium sativum/Aloe vera/Aloysia citriodora/Alpinia galanga/Alpinia officinarum/Ambrosia arborescens/Ananas comosus/Andrographis paniculata/Atractylodes japonica/Atractylodes lancea/Auricularia spp./Ayapana triplinervis/Bacopa monnieri/Bassia scoparia/Berberis vulgaris/Brassica oleracea/Bridens pilosa/Bupleurum chinense/Capsella bursa-pastoris/Capsicum frutescens/Capsicum spp./Cardiospermum halicacabum/Carica papaya/Casearia sylvestris/Catalpa longissim/Celastrus paniculatus/Centella asiatica/Chenopodium ambrosioides/Cinnamomum aromaticum/Cinnamomum verum/Cissampelos pareira/Citrus sinensis/Copaifera officinalis/Coptis spp./Corydalis ambigua/Croton lechleri/Cucumis melo/Curcuma longa/Dalbergia monetaria/Dioscorea spp./Dioscorea villosa/Dysphania ambrosioides/Eclipta prostrata/Evolvulus alsinoides/Filipendula ulmaria/Fragaria virginiana/Galeopsis sp./Glechoma hederacea/Glycyrrhiza glabra/Guazuma ulmifolia/Himatanthus sucuuba/Hippophae rhamnoides/Hydrastis canadensis/Hypericum perforatum/Iris spp/Jatropha macrantha/Lagenaria siceraria/Ligustrum lucidum/Lippia alba/Lonicera japonica/Mahonia aquifolium/Mammea americana/Matricaria recutita/Maytenus ilicifolia/Mentha x/Mikania guaco/Murraya koenigii/Musa x/Myrciaria dubia/Myroxylon balsamum/Nardostachys grandiflora/Neriu oleander/Ocimum basilicum/Ocimum tenuiflorum/Opuntia ficus-indica/Paeonia lactiflora/Panax ginseng/Panax pseudoginseng/Paullinia cupana/Perilla frutescens/Petasites hybridus/Peumus boldus/Phellodendron amurense/Phlebodium aureum/Phyllanthus niruri/Pistacia lentiscus/Plantago major/Platycodon grandiflorum/Portulaca oleracea/Protium heptaphyllum/Ptychopetalum olacoides/Quassia amara/Quillaja saponaria/Rabdosia spp./Saussurea costus/Scoparia dulcis/Solanum nigrum/Solanum tuberosum/Sonchus oleraceus/Spondias mombin/Stachytarpheta cayennensis/Stachytarpheta jamaicensis/Syzygium cumini/Tabebuia rosea/Tabebuia spp./Tagetes patla/Tanacetum vulgare/Terminalia sericea/Tetragonia tetragonoides/Thymus vulgaris/Turnera ulmifolia/Uncaria tomentosa/Vaccinium myrtillus/Valeriana officinalis/Veronica officinalis/Vitis vinifera/Withania somnifera/Xanthium strumarium/Xanthorhiza simplicissima/Zanthoxylum clava-herculis/Zanthoxylum spp./Zingiber officinale/Ziziphus jujuba
Antiultraviolet	Hamamelis virginiana/Phlebodium aureum
Antiultraviolet-B	Tamarindus indica
Antiuremic	Rheum palmatum
Antiurethrotic	Ptychopetalum olacoides
Antiuronic acid	Centella asiatica
Antiussive	Anacardium occidentale
Antivagal	Argemone mexicana
Antivaginitic	Mentha aquatica/Neurolaena lobata
Antivenereal	Chamissoa altissima/Coccoloba uvifera/Ilex guayusa/Macfadyena unguis-cati/Phlebodium aureum
Antivenom	Casearia sylvestris/Dracontium spp./Eclipta prostrata/Ocimum campechianum/Passiflora laurifolia/Passiflora quadrangularis
Antivenom (snake)	Brunfelsia uniflora
Antiviral	Acanthospermum hispidum/Achillea millefolium/Achyranthes aspera/Achyrocline satureioides/Adiantum capillus-veneris/Aegle marmelos/Aesculus hippocastanum/Agastache rugosa/Agrimonia eupatoria/Allium sativum/Aloe vera/Ambrosia peruviana/Anacardium occidentale/Anagallis arvensis/Annona squamosa/Anthyllis vulneraria/Argemone mexicana/Arrabidiae chica/Artemisia annua/Aspalathus sp./Asparagus officinalis/Astragalus membranaceus/Atractylodes japonica/Atractylodes lancea/Avena sativa/Azadirachta indica/Baccharis articulata/Belamcanda chinensis/Boerhavia diffusa/Brassica oleracea/Bridens pilosa/Brugmansia suaveolens/Bupleurum chinense/Caesalpinia pulcherrima/Cajanus cajan/Calendula officinalis/Camellia sinensis/Canavalia ensiformis/Cannabis sativa/Capparis spinosa/Capsicum frutescens/Capsicum spp./Carpobrotus edulis/Cassia fistula/Cedrus deodara/Celastrus paniculatus/Celosia argentea/Centella asiatica/Ceratonia siliqua/Cetraria islandica/Chamaesyce hirta/Chelidonium majus/Chlorella spp./Chrysanthemum x/Cichorium endivia/Cinnamomum aromaticum/Cinnamomum verum/Citrus reticulata/Citrus sinensis/Coffea arabica/Cola acuminata/Cola spp./Conyza bonariensis/Cordia ecalyculata/Croton lechleri/Dianthus caryophyllus/Dianthus chinensis/Dodonaea viscosa/Dracontium spp./Drosera rotundifolia/Dryopteris filix-mas/Echinacea spp./Eclipta prostrata/Elettaria cardamomum/Eleutherococcus senticosus/Ephedra spp./Epimedium spp./Eryngium foetidum/Erythroxylum catuaba/Espeletia schultzii/Eucalyptus globulus/Eucommia ulmodes/Eupatorium perfoliatum/Euphorbia cotinifolia/Fallopia japonica/Foeniculum vulgare/Forsythia suspensa/Frangula alnus/Frangula purshiana/Galanthus nivalis/Ganoderma lucidum/Geranium robertianum/Glycyrrhiza glabra/Guazuma ulmifolia/Haematoxylum campechianum/Hamamelis virginiana/Harugana madagascariensis/Hebanthe eriantha/Heisteria acuminata/Hemidesmus indicus/Holarrhena pubescens/Houttuynia cardata/Hypericum perforatum/Hyptis capitata/Hyssopus officinalis/Inula britannica/Ipomoea batatas/Jatropha curcas/Jatropha gossypiifolia/Juglans neotropica/Juglans nigra/Juglans regia/Juniperus sabina/Justicia adhatoda/Larrea tridentata/Lavandula spp./Lawsonia inermis/Lentinus edodes/Leonurus cardiaca/Lepidium sativum/Leucaena leucocephala/Ligustrum lucidum/Lippia alba/Lithospermum erythrorhizon/Lobelia inflata/Lonicera caprifolium/Lonicera japonica/Maclura tinctoria/Manihot esculenta/Mansoa alliacea/Matricaria recutita/Melaleuca alternifolia/Melia azedarach/Melissa officinalis/Mentha longifolia/Mentha x/Mimosa pudica/Minquartia guianensis/Mirabilis jalapa/Momordica charantia/Morinda citrifolia/Moringa oleifera/Myrciaria dubia/Myrica gale/Narcissus tazetta/Nigella sativa/Opuntia ficus-indica/Origanum majorana/Paeonia lactiflora/Paeonia officinalis/Paeonia suffruticosa/Panax ginseng/Panax pseudoginseng/Passiflora suberosa/Pedilanthus tithymaloides/Petiveria alliacea/Phaseolus vulgaris/Phellodendron amurense/Phlebodium aureum/Phyllanthus emblica/Phyllanthus niruri/Physalis angulata/Physalis peruviana/Phytolacca americana/Picrama excelsa/Picrasma excelsa/Picrorhiza kurrooa/Pimenta dioica/Pimenta rece/Pimpinella anisum/Pinus pinaster/Pinus sylvestris/Piper aduncum/Piper cubeba/Piscidia piscipula/Plantago major/Plumeria rubra/Podophyllum peltatum/Polygonum multiflorum/Portulaca oleracea/Potentilla anserina/Potentilla erecta/Prunella vulgaris/Prunus domestica/Psidium guajava/Psophocarpus tetragonolobus/Ptychopetalum olacoides/Punica granatum/Quassia amara/Quercus spp./Rabdosia spp./Ranunculus acris/Ranunculus sceleratus/Raphanus sativus/Rheum palmatum/Rhus aromatica/Ricinus communis/Robinia pseudoacacia/Rosmarinus officinalis/Rubus idaeus/Rumex hymenosepalus/Salvia fruticosa/Salvia officinalis/Sambucus canadensis/Sambucus nigra/Santalum album/Satureja sp./Schinus molle/Schinus terebinthifolius/Scoparia dulcis/Scutellaria baicalensis/Scutellaria lateriflora/Senna alata/Senna occidentalis/Senna tora/Silybum marianum/Simarouba glauca/Solanum dulcamara/Solanum torvum/Spinacia oleracea/Spondias mombin/Stachytarpheta jamaicensis/Styrax benzoin/Syzygium aromaticum/Tabebuia spp./Tagetes minuta/Tagetes pusilla/Tamarindus indica/Tanacetum vulgare/Terminalia chebula/Tessaria integrifolia/Tetradium ruticarpum/Thespesia populnea/Thevetia peruviana/Tillandsia usneoides/Tinospora cordifolia/Toxicodendron succedaneum/Trichosanthes kirilowii/Uncaria tomentosa/Urtica dioica/Vaccinium myrtillus/Vaccinium vitis-idaea/Verbascum spp./Verbena officinalis/Vitis vinifera/Withania somnifera/Ximenia americana/Yucca filamentosa/Zea mays/Zingiber officinale
Antiwrinkle	Aesculus hippocastanum/Aloe vera/Calycophyllum spruceanum/Foeniculum vulgare/Hamamelis virginiana/Panax ginseng/Ziziphus jujuba
Antiyeast	Larrea tridentata/Piper aduncum/Plantago major/Schkuhria pinnata
Anuria	Cytisus scoparius
Anxiety	Apium graveolens/Boswellia sacra/Glycyrrhiza glabra/Zingiber officinale
Anxiogenic	Cannabis sativa/Ginko biloba/Pausinystalia johimbe
Anxiolytic	Achillea millefolium/Acorus calamus/Aloysia citriodora/Arachis hypogaea/Bacopa monnieri/Centella asiatica/Chamaesyce hirta/Cymbopogon citratus/Eschscholzia californica/Galium odoratum/Gallesia integrifolia/Genipa americana/Ginko biloba/Heimia salicifolia/Hypericum perforatum/Lavandula spp./Matricaria recutita/Melissa officinalis/Mimosa pudica/Morinda citrifolia/Panax ginseng/Passiflora edulis/Passiflora incarnata/Passiflora quadrangularis/Petiveria alliacea/Piper methysticum/Piscidia piscipula/Protium heptaphyllum/Prunus serotina/Spondias mombin/Strophanthus gardeniiflorus/Strophanthus gratus/Strophanthus hispidus/Strophanthus kombe/Strophanthus sarmentosus/Tilia spp./Valeriana officinalis/Zingiber officinale/Ziziphus jujuba
AP-1 inhibitor	Morinda citrifolia
Aperient	Aleurites moluccana/Aloe vera/Ananas comosus/Arachis hypogaea/Bacopa monnieri/Belamcanda chinensis/Bidens tripartita/Borago officinalis/Cardiospermum halicacabum/Cassia fistula/Chionanthus virginicus/Chondrodendron tomentosum/Chrysanthemum x/Citrus aurantiifolia/Cocos nucifera/Colchicum autumnale/Cornus florida/Crescentia cujete/Dryopteris filix-mas/Erythroxylum coca/Eupatorium perfoliatum/Ferula assa-foetida/Ficus carica/Frangula alnus/Fraxinus ornus/Galium aparine/Galium odoratum/Hura crepitans/Hydrastis canadensis/Ilex paraguariensis/Lycopersicon esculentum/Manihot esculenta/Mirabilis jalapa/Ochroma pyramidale/Ononsis spinosa/Petroselinum crispum/Phyllanthus emblica/Physalis alkekengi/Physalis peruviana/Plantago major/Portulaca oleracea/Primula veris/Prunus domestica/Psidium guajava/Raphanus sativus/Rheum palmatum/Ricinus communis/Rosa centifolia/Rumex vesicarius/Ruscus aculeatus/Sambucus canadensis/Senna tora/Silybum marianum/Soliago odora/Tagetes minuta/Tamarindus indica/Tanacetum parthenium/Taraxacum officinale/Thalictrum foliolosum/Urera baccifera/Viola odorata
Aperitif	Acacia catechu/Achillea millefolium/Achillea ptarmica/Acorus calamus/Actaea pachypoda/Agathosma betulina/Albizia julibrissin/Alchemilla vulgaris/Alpinia officinarum/Anemone acutiloba/Anethum graveolens/Angelica archangelica/Angostura trifoliata/Apium graveolens/Arctium lappa/Aristolochia serpentaria/Armoracia rusticana/Artemisia absinthium/Artemisia dracunculus/Artemisia vulgaris/Asparagus racemosus/Aspidosperma quebracho-blanco/Berberis vulgaris/Brassica juncea/Brassica napus/Brassica nigra/Calea zacatechichi/Calotropis procera/Cannabis sativa/Capparis spinosa/Capsicum frutescens/Carum carvi/Catha edulis/Cetraria islandica/Chamaelirium luteum/Chelone glabra/Cichorium intybus/Cinchona pubescens/Cinnamomum verum/Citrus x/Cnicus benedictus/Commiphora myrrha/Commiphora wightii/Consolida regalis/Corchorus olitorius/Coriandrum sativum/Cornus florida/Crataeva nurvala/Crescentia cujete/Crithmum maritimum/Croton eluteria/Cuminum cyminum/Curculigo orchioides/Curcuma longa/Curcuma xanthorrhiza/Curcuma zedoaria/Cuscuta epithymum/Cyamopsis tetragonoloba/Cynara cardunculus/Daucus carota/Dorstenia contrayerba/Elettaria cardamomum/Eleutherococcus senticosus/Eryngium foetidum/Eupatorium cannabinum/Ferula sumbul/Foeniculum vulgare/Gnaphalium obtusifolium/Guazuma ulmifolia/Hamamelis virginiana/Harpagophytum procumbens/Helianthus annuus/Hemidesmus indicus/Hibiscus sabdariffa/Holarrhena pubescens/Houttuynia cardata/Humulus lupulus/Hydrastis canadensis/Hypericum perforatum/Impatiens capensis/Inula helenium/Jateorhiza palmata/Lavandula spp./Ledum groenlandicum/Lepidium sativum/Luffa aegyptiaca/Lycopersicon esculentum/Mallotus philippensis/Mals domestica/Mangifera indica/Marrubium vulgare/Marsdenia cundurango/Medicago sativa/Melia azedarach/Melissa officinalis/Menyanthes trifoliata/Momordica charantia/Moringa oleifera/Musa x/Nardostachys grandiflora/Nasturtium officinale/Neurolaena lobata/Nigella sativa/Ocimum basilicum/Onopordum acanthium/Panax ginseng/Petasites hybridus/Peumus boldus/Phyllanthus emblica/Phyllanthus niruri/Picrasma excelsa/Pimpinella anisum/Pinus strobus/Piper betle/Piper methysticum/Piper nigrum/Pistacia lentiscus/Podophyllum peltatum/Psychotria ipecacuanha/Ptelea trifoliata/Ptychopetalum olacoides/Quassia amara/Raphanus sativus/Rheum australe/Rheum palmatum/Rosa centifolia/Rosmarinus officinalis/Rubia cordifolia/Ruscus aculeatus/Ruta graveolens/Saccharomyces cerevisiae/Salvia officinalis/Sanguisorba officinalis/Scutellaria baicalensis/Serenoa repens/Sinapis alba/Sium sisarum/Solanum nigrum/Sorbus americana/Sorghum bicolor/Spinacia oleracea/Tabernanthe iboga/Tagetes minuta/Tamarindus indica/Tanacetum parthenium/Tanacetum vulgare/Taraxacum officinale/Thymus vulgaris/Toxicodendron succedaneum/Trachyspermum ammi/Trifolium pratense/Trigonella foenum-graecum/Triticum aestivum/Valeriana officinalis/Veratrum viride/Veronica becca/Veronica officinalis/Zanthoxylum armatum/Zingiber officinale/Ziziphus mauritiana
