Acremonium sp. MST-MF588a	
Acremonium sp. MT70646	
Acremonium sp. No.27082	
Acremonium sp. TF-0356	
Acremonium striatisporum KMM 4401	
Acremonium striatisporum KMM4401	
Acremonium tubakii DSM 12774	
Acridocarpus vivy	
Acrisione cymosa	462375
Acrisione denticulata	462376
Acritopappus confertus	1744986
Acritopappus longifolius	1744988
Acritopappus morii	
Acrobolbus renifolius	1340762
Acrobolbus urvilleanus	387587
Acrocychia oligophylebia	
Acronychia acidula	43715
Acronychia baeuerlenii	273128
Acronychia baeurlenii	
Acronychia baueri	
Acronychia baueri Schott	
Acronychia baueri Schott.	
Acronychia bauurlenii	
Acronychia haplophylla	
Acronychia laurifolia	
Acronychia muelleri	
Acronychia oligophylebia	
Acronychia pedunculata	354485
Acronychia porteri	
Acronychia pubescens	273126
Acronychia spp.	
Acronychia vestita	354487
Acrophularia lepidota	
Acrophylla wuelfingi	614090
Acrosiphonia coalita	73105
Acrostalagmus cinnabarinus var. melinacidinus	
Acrostalagmus sp.	2040667
Acrostalagmus spp.	
Acrotrema uniflorum	
Acrotriche serrulata	1158220
Actaea asiatica	64022
Actaea cimicifuga	64032
Actaea dahurica	64029
Actaea heracleifolia	64034
Actaea japonica	64035
Actaea podocarpa DC.	
Actaea racemosa	64040
Actaea simplex	64042
Actaea spicata	64025
Actaea vaginata	64047
Actea racemosa	
Actinia equina	6106
Actinida arguta	
Actinida polygama	
Actinida polygana	
Actinidia arguta	64478
Actinidia callosa var.henryi	
Actinidia chinensis	3625
Actinidia chinensis jinggangshanensis	
Actinidia chrysantha	64479
Actinidia deliciosa	3627
Actinidia deliciosa cv. Golden King	
Actinidia eriantha	165200
Actinidia glaucophylla	165706
Actinidia kolomikta	165710
Actinidia latifolia	165711
Actinidia macrosperma	165712
Actinidia melanandra	165713
Actinidia polygama	64480
Actinidia polygana	
Actinidia rubricaulis var.coriacea	
Actinidia spp.	
Actinidia valvata	165719
Actinocheita filicina	263455
Actinodaphne acuminata	796729
Actinodaphne hookeri	1941424
Actinodaphne lancifolia	2654222
Actinodaphne longifolia	
Actinodaphne madraspatana	1377997
Actinodaphne speciosa	
Actinokineospora fastidiosa	1816
Actinomadura SCC 1777	
Actinomadura aurea nov. sp.	
Actinomadura hibisca A2493 (ATCC 53815)	
Actinomadura hibisca P157-2	
Actinomadura hibisca P157-2 (ATCC 53557)	
Actinomadura kijaniata SCC 1256 (ATCC 31588)	
Actinomadura luzonensis	2805427
Actinomadura madurae 2808-SV1	
Actinomadura madurae LL-D42067	
Actinomadura melliaura sp.	
Actinomadura melliaura sp.nov.(SCC 1655)	
Actinomadura pelletieri	111805
Actinomadura roseorufa ATCC 53869	
Actinomadura roseorufa mutant 2634-606	
Actinomadura roseoviolacea 1029-AV1	
Actinomadura roseoviolacea var. biwakoensis nov. var.	
Actinomadura sp. AB1236	
Actinomadura sp. ATCC 53708	
Actinomadura sp. BL-42-PO13-046	
Actinomadura sp. HQ24	
Actinomadura sp. M048	
Actinomadura sp. MI215-NF3	
Actinomadura sp. MJ502-77F8	
Actinomadura sp. MK73-NF4	
Actinomadura sp. N742-34	
Actinomadura sp. No. SA-4427	
Actinomadura sp. OMR-37	
Actinomadura sp. SCC 1646	
Actinomadura sp. SCC 1778	
Actinomadura sp. SF-2140	
Actinomadura sp. SF-2370	
Actinomadura sp. strain 007	
Actinomadura spinosa AA0851	
Actinomadura spiralis MI178-34F18	
Actinomadura spp.	
Actinomadura spp. SCC 1776	
Actinomadura verrucosospora ATCC 39334	
Actinomadura verrucosospora Q886-2	
Actinomadura verrucosospora subsp. neohibisca E-40 mutant	
Actinomadura verrucosospora subsp. neohibisca R103-3	
Actinomadura verrucosospora subsp. neohibisca subsp. nov.	
Actinomyces AC326	
Actinomyces K-26	
Actinomyces MD736-C6	
