source,target
C00001431,16610
C00007480,16996
C00019637,17013
C00002305,9755
C00002200,9768
C00002240,9770
C00001327,9777
C00002679,9780
C00002125,9782
C00002367,9786
C00030472,16148
C00003348,8041
C00003422,4660
C00002084,4701
C00002818,4718
C00002152,4721
C00002819,4723
C00003589,9038
C00002623,9041
C00001955,9043
C00002625,9048
C00001098,9050
C00002302,9059
C00001099,9061
C00001956,9085
C00001768,9104
C00002115,9106
C00002118,9109
C00002119,9111
C00001662,9114
C00001957,9120
C00002626,9127
C00002361,9132
C00002260,9185
C00001059,18330
C00001156,18333
C00019665,18337
C00025138,801
C00000320,5299
C00001974,5314
C00002747,5352
C00000730,18198
C00000780,18203
C00002301,15742
C00003360,8770
C00002859,8773
C00001322,8778
C00003477,8810
C00002109,8822
C00002904,8824
C00003177,8827
C00002234,8837
C00002194,8839
C00002388,8851
C00001912,8886
C00003547,8901
C00003480,8904
C00002937,8911
C00003587,8913
C00002196,8917
C00001300,10046
C00001928,10083
C00000642,10088
C00001789,10093
C00003025,10106
C00001460,10111
C00000091,16522
C00003352,8268
C00002358,8270
C00002852,8273
C00003096,8275
C00003474,8277
C00001603,8340
C00001605,8342
C00003044,4949
C00002157,4951
C00002338,4954
C00001973,4962
C00002742,4966
C00002038,4969
C00001285,4973
C00003285,4983
C00001936,4988
C00026485,9287
C00003659,18378
C00003817,18388
C00027603,18399
C00007383,18406
C00001137,18411
C00003449,1182
C00001444,5578
C00001865,5637
C00002475,5640
C00002089,5642
C00003623,5644
C00003140,5647
C00003625,5650
C00018685,18255
C00001384,18257
C00007489,18267
C00003131,10418
C00000912,16833
C00007541,16893
C00002257,8595
C00001660,8601
C00003355,8606
C00002856,8608
C00018666,8612
C00002972,8617
C00002192,8625
C00001908,8634
C00002857,8645
C00003013,8647
C00001730,5239
C00002164,5266
C00003081,5277
C00003289,5281
C00018795,5292
C00001734,5294
C00003194,9578
C00002267,9629
C00003376,9631
C00002580,9643
C00002410,9645
C00000600,9647
C00002412,9656
C00002124,9672
C00002677,9687
C00001777,9693
C00002865,9697
C00001457,9717
C00001926,9723
C00003716,5860
C00003150,5866
C00002477,5885
C00002092,5935
C00003305,5942
C00001940,5945
C00001541,16700
C00001837,16714
C00001910,16718
C00019550,15694
C00000582,15709
C00009553,15712
C00002776,15714
C00003650,17030
C00023751,17038
C00025268,17041
C00002120,9360
C00002075,9367
C00001102,9369
C00002122,9374
C00001772,9386
C00001105,9400
C00003758,9402
C00002364,9417
C00003488,9419
C00001983,9424
C00002938,9433
C00018683,17293
C00025262,16777
C00027522,16777
C00002584,16786
C00001887,30
C00002055,32
C00003468,39
C00003054,41
C00002631,47
C00003154,62
C00001831,64
C00001063,6146
C00001370,18095
C00007222,18107
C00001555,18123
C00003581,15574
C00003590,15578
C00003563,15579
C00001181,15584
C00000002,17052
C00000783,17056
C00000148,16053
C00026478,17362
C00018716,17371
C00017999,15871
C00000118,15874
C00002306,15884
C00002648,17189
C00001374,17191
C00000846,17211
C00000400,15628
C00007248,15633
C00019687,15638
C00007252,15641
C00001433,18139
C00019661,15784
C00006995,15789
C00026092,17129
C00019684,17140
C00029462,16135
C00019557,16141
C00027432,17458
C00003719,16226
C00002656,17594
C00000094,17660
C00000864,17695
C00030758,17700
C00001544,17213
C00007475,17232
C00002665,16204
C00026087,16233
C00019560,16236
C00001158,17541
C00003578,5364
C00000965,5368
C00003291,5375
C00001045,5380
C00007345,5395
C00001466,5400
C00001471,5405
C00002168,5497
C00026245,5497
C00002438,2110
C00001743,6429
C00002480,6450
C00002051,6507
C00006392,16631
C00000757,16691
C00019674,16704
C00007293,16710
C00001251,5660
C00002995,5676
C00003144,5678
C00001445,5687
C00024908,5690
C00001643,5690
C00028344,5690
C00001413,5712
C00002827,5715
C00002533,5718
C00002608,5722
C00003146,5727
C00000134,2365
C00003930,2382
C00027972,2414
C00001609,2414
C00002012,2471
C00001674,2488
C00001988,2492
C00001990,2494
C00000546,2504
C00002507,2506
C00002906,2508
C00002687,2516
